0,0.64,0.62,0.6
8,0.68,0.7,0.62
16,0.74,0.89,0.65
24,0.88,1.2,0.69
32,1.06,1.65,0.73
40,1.35,2.4,0.8
48,1.77,3.46,0.93
56,2.32,4.84,1.08
64,2.96,6.5,1.25
72,3.78,8.53,1.46
80,4.69,10.86,1.72
88,5.71,13.52,1.99
96,6.91,16.5,2.33
104,8.17,19.68,2.69
112,9.57,23.14,3.07
120,11.1,27.04,3.5
128,12.77,31.18,3.98
136,14.71,35.99,4.55
144,16.95,41.5,5.2
152,19.28,47.25,5.86
160,21.64,53.21,6.59
168,24.08,59.14,7.31
176,26.66,65.97,8.11
184,29.48,72.57,8.97
192,32.19,80.18,9.84
200,34.92,87.13,10.72
208,37.79,94.16,11.64
216,40.77,102.6,12.61
224,44.17,112.2,13.8
232,47.38,121.5,14.91
240,50.65,131.1,16.09
248,54.12,142.5,17.42
255,57.24,154.8,18.76
